iter	RMSE
0	176374.8514
1	167637.190522	159429.421533	151698.878
4	144885.0544
5	138342.113
6	132374.5578
7	127292.457
8	122897.9232
9	118212.7926
10	114095.3923
11	110365.3594
12	107028.8739
13	103825.251
14	100989.1099
15	98575.66323
16	96382.98151
17	94570.1158
18	92738.93203
19	91131.55704
20	89800.23591
21	88607.33309
22	87343.79192
23	86194.98088
24	85088.16506
25	84072.33814
26	83189.66097
27	82464.53784
28	81793.49765
29	81187.81965
30	80590.39814
31	80047.21675
32	79500.70157
33	79099.08923
34	78681.19775
35	78196.99795
36	77793.5907
37	77465.1372
38	77218.57976
136
1
