iter	Passed	Remaining
0	1123	785211
1	1721	600679
2	2228	517810
3	2782	484099
4	3328	462708
5	3882	449032
6	4396	435253
7	4900	423882
8	5387	413616
9	5889	406377
10	6381	399697
11	6874	394161
12	7352	388574
13	7831	383758
14	8340	380874
15	8839	377881
16	9351	375695
17	9861	373640
18	10351	371032
19	10822	367961
20	11339	366629
21	11866	365697
22	12388	364657
23	12877	362714
24	13331	359950
25	13863	359385
26	14343	357522
27	14782	354779
28	15273	353397
29	15729	351284
30	16239	350461
31	16753	349719
32	17188	347413
33	17770	348087
34	18268	347104
35	18756	345953
36	19236	344697
37	19761	344274
38	20216	342636
